name,year,image_url
ヴァンガード,2007,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Toyota_vanguard_aca38w_240sspackage_1_f.jpg/280px-Toyota_vanguard_aca38w_240sspackage_1_f.jpg

iQ,2008,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Toyota_iQ_001.JPG/280px-Toyota_iQ_001.JPG

プリウス,2009,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/2009_Toyota_Prius_01.jpg/200px-2009_Toyota_Prius_01.jpg

エティオス,2010,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Toyota_Etios_1.5_XLS_Sedan_2019.jpg/200px-Toyota_Etios_1.5_XLS_Sedan_2019.jpg

ピクシススペース,2011,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Toyota_Pixis_2.jpg/280px-Toyota_Pixis_2.jpg

86,2012,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Toyota_86_GT_%28DBA-ZN6%29_front.jpg/280px-Toyota_86_GT_%28DBA-ZN6%29_front.jpg

オーリス,2013,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Toyota_Auris_1.33_Dual-VVT-i_Start_Edition_%28II%29_%E2%80%93_Frontansicht%2C_11._Februar_2013%2C_D%C3%BCsseldorf.jpg/280px-Toyota_Auris_1.33_Dual-VVT-i_Start_Edition_%28II%29_%E2%80%93_Frontansicht%2C_11._Februar_2013%2C_D%C3%BCsseldorf.jpg

エスクァイア,2014,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Toyota_esquire_hybrid.JPG/120px-Toyota_esquire_hybrid.JPG

ピクシスメガ,2015,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Toyota%E3%83%BBPixis-Mega_L%22SA%22.jpg/280px-Toyota%E3%83%BBPixis-Mega_L%22SA%22.jpg

ピクシスジョイ,2016,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Toyota_PIXIS_JOY_F_G_Turbo%22SA_II%22_%28DBA-LA250A-GBVZ%29_front.jpg/280px-Toyota_PIXIS_JOY_F_G_Turbo%22SA_II%22_%28DBA-LA250A-GBVZ%29_front.jpg

RAV4,2020,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Toyota_RAV4_Hybrid%2C_Paris_Motor_Show_2018%2C_IMG_0386.jpg/280px-Toyota_RAV4_Hybrid%2C_Paris_Motor_Show_2018%2C_IMG_0386.jpg
